무인교통단속카메라관리번호,소재지지번주소,위도,경도
P-6905,경기도 고양시 일산동구 장항동 1492,37.6599314,126.7697312
P-6906,경기도 고양시 일산동구 장항동 761-1,37.66183401,126.7675434
P-6907,경기도 고양시 일산동구 장항동 744,37.66275748,126.7653413
P-6908,경기도 고양시 일산동구 장항동 1496,37.6591437,126.7679438
P-6909,경기도 고양시 일산동구 장항동 749,37.66266909,126.7639849
P-6A02,경기도 고양시 일산동구 장항동 861-1,37.65728692,126.7709841
SP-6B02,경기도 고양시 일산동구 문봉동 203-6,37.70737883,126.8123741
P-6101,경기도 고양시 일산동구 식사동 산 122-25,37.6777634,126.812633
P-6102,경기도 고양시 일산동구 식사동 916,37.66932912,126.8064009
P-6103,경기도 고양시 일산동구 식사동 산 123,37.6768033,126.8143145
P-6301,경기도 고양시 일산동구 정발산동 688,37.66801128,126.7738567
P-6504,경기도 고양시 일산동구 백석동 1291,37.64500979,126.7867465
P-6701,경기도 고양시 일산동구 마두동 730-1,37.65449803,126.7904202
P-6702,경기도 고양시 일산동구 마두동 780,37.6546888,126.7844884
P-6902,경기도 고양시 일산동구 장항동 772,37.660747,126.7710539
P-6903,경기도 고양시 일산동구 장항동 733,37.66378321,126.7679191
P-6904,경기도 고양시 일산동구 장항동 733-2,37.66349022,126.767458
P-6201,경기도 고양시 일산동구 중산동 1619,37.69041846,126.7828926
P-6202,경기도 고양시 일산동구 중산동 1556,37.69611072,126.780004
P-6501,경기도 고양시 일산동구 백석동 1330,37.63761157,126.78776
P-6502,경기도 고양시 일산동구 백석동 1232,37.64547536,126.7930402
P-6503,경기도 고양시 일산동구 백석동 1300,37.64039745,126.7908618
P-6505,경기도 고양시 일산동구 백석동 1312,37.64053602,126.788331
P-6520,경기도 고양시 일산동구 백석동 1308,37.64235547,126.7878825
P-6521,경기도 고양시 일산동구 백석동 1312,37.64053602,126.788331
P-6522,경기도 고양시 일산동구 백석동 1320-1,37.63880938,126.787585
P-6601,경기도 고양시 일산동구 백석동 1326,37.64099411,126.78602
P-6917,경기도 고양시 일산동구 장항동 752-1,37.65980545,126.7668076
P-6918,경기도 고양시 일산동구 장항동 881,37.64937156,126.777064
P-6919,경기도 고양시 일산동구 장항동 750-1,37.66146744,126.7651519
P-6920,경기도 고양시 일산동구 장항동 748,37.66336347,126.7633513
P-6921,경기도 고양시 일산동구 장항동 729,37.66533382,126.7665012
P-6937,경기도 고양시 일산동구 장항동 777,37.66203341,126.7687417
P-6938,경기도 고양시 일산동구 장항동 732,37.66377561,126.7670356
P-6939,경기도 고양시 일산동구 장항동 1518,37.65819062,126.7675039
P-6940,경기도 고양시 일산동구 장항동 743,37.66280502,126.7660486
P-6948,경기도 고양시 일산동구 장항동 1811,37.66103564,126.7483496
P-6519,경기도 고양시 일산동구 백석동 1301,37.64022347,126.7904006
P-6302,경기도 고양시 일산동구 정발산동 1486,37.67398095,126.776748
P-6303,경기도 고양시 일산동구 정발산동 1486,37.67398095,126.776748
P-6712,경기도 고양시 일산동구 마두동 778,37.654588,126.7896544
P-6713,경기도 고양시 일산동구 마두동723,37.65762,126.7885932
P-6714,경기도 고양시 일산동구 마두동 772,37.65287639,126.7793701
P-6913,경기도 고양시 일산동구 장항동 857,37.65826719,126.7726593
P-6914,경기도 고양시 일산동구 장항동 867,37.65589641,126.7720388
P-6931,경기도 고양시 일산동구 장항동1504,37.65733038,126.7716654
P-6932,경기도 고양시 일산동구 장항동 859-1,37.6569282,126.7718487
P-6A01,경기도 고양시 일산동구 장항동 853,37.6555821,126.7741236
P-6115,경기도 고양시 일산동구 식사동 577-102,37.66911774,126.8111323
P-6116,경기도 고양시 일산동구 식사동 1507 블루밍 아파트 앞,37.68222005,126.8109873
P-6533,경기도 고양시 일산동구 백석동 1299-1,37.63984294,126.7910054
P-6113,경기도 고양시 일산동구 식사동 621-10,37.6712067,126.8099394
P-6114,경기도 고양시 일산동구 식사동 856-29,37.67177853,126.8075595
P-6B03,경기도 고양시 일산동구 사리현동 117-1,37.69481907,126.8443253
SP-6166,경기도 고양시 일산동구 식사동 633-2,37.67216343,126.8126834
SP-6722,경기도 고양시 일산동구 마두동 830,37.66672298,126.7856589
SP-6723,경기도 고양시 일산동구 마두동 808 (한국경진학교),37.66535212,126.7821081
SP-6114,경기도 고양시 일산동구 식사동 668-21,37.6769175,126.8108599
SP-6302,경기도 고양시 일산동구 정발산동 1117,37.6754219,126.7788532
SP-6328,경기도 고양시 일산동구 정발산동 1117,37.67544394,126.7788445
SP-6421,경기도 고양시 일산동구 풍동 1284,37.66687039,126.7967057
SP-6605,경기도 고양시 일산동구 백석동 1427-6,37.6443158,126.7821002
SP-6418,경기도 고양시 일산동구 풍동 551-57 (풍산초교 두산위브2단지 203동 앞),37.66536295,126.7970102
SP-6515,경기도 고양시 일산동구 백석동 1188,37.65213917,126.7890577
SP-6516,경기도 고양시 일산동구 백석동 1192,37.649601,126.7843119
P-6211,경기도 고양시 일산동구 중산동 1651,37.68298713,126.7792441
SP-6218,경기도 고양시 일산동구 중산동 1554-1,37.69613944,126.7826205
SP-6219,경기도 고양시 일산동구 중산동 1575-3,37.69044448,126.7835571
P-6205,경기도 고양시 일산동구 중산동 1805,37.67517615,126.7850915
P-6206,경기도 고양시 일산동구 중산동 1811,37.6743685,126.7876817
P-6207,경기도 고양시 일산동구 중산동 1814,37.6745176,126.7877961
P-6210,경기도 고양시 일산동구 중산동 1662,37.6845076,126.7779843
P-6901,경기도 고양시 일산동구 장항동 892,37.65257831,126.7763845
P-6104,경기도 고양시 일산동구 식사동 807-4,37.6768453,126.8072744
P-6934,경기도 고양시 일산동구 장항동 1509,37.65643322,126.7692391
P-6203,경기도 고양시 일산동구 중산동 1775,37.6800552,126.7845522
P-6204,경기도 고양시 일산동구 중산동 1775,37.6800552,126.7845522
P-6208,경기도 고양시 일산동구 중산동 1573,37.69254797,126.7822753
P-6209,경기도 고양시 일산동구 중산동 1570,37.69312805,126.7810036
P-6403,경기도 고양시 일산동구 풍동1275,37.66774328,126.8003849
P-6517,경기도 고양시 일산동구 백석동 1223,37.6498208,126.7859323
P-6518,경기도 고양시 일산동구 백석동 1230,37.64890093,126.7937315
P-6935,경기도 고양시 일산동구 장항동 866,37.65614811,126.7694718
P-6703,경기도 고양시 일산동구 마두동 752,37.657316,126.7879446
P-6915,경기도 고양시 일산동구 장항동 854-1,37.65597375,126.7732253
P-6706,경기도 고양시 일산동구 마두동 806,37.6501177,126.780266
P-6707,경기도 고양시 일산동구 마두동 798-1,37.65379375,126.7772054
P-6708,경기도 고양시 일산동구 마두동 796,37.65472123,126.777715
P-6709,경기도 고양시 일산동구 마두동 764,37.65497765,126.7768273
P-6710,경기도 고양시 일산동구 마두동 766,37.65110685,126.779061
P-6711,경기도 고양시 일산동구 마두동 767,37.65163869,126.778283
P-6922,경기도 고양시 일산동구 장항동 890-6,37.65279267,126.7768245
P-6923,경기도 고양시 일산동구 장항동 1359,37.65306115,126.7763496
P-6924,경기도 고양시 일산동구 장항동 766,37.66048016,126.7695882
P-6925,경기도 고양시 일산동구 장항동 776,37.66223116,126.7697466
P-6926,경기도 고양시 일산동구 장항동 896,37.651002,126.7778794
P-6927,경기도 고양시 일산동구 장항동 902,37.64876569,126.7797261
P-6928,경기도 고양시 일산동구 장항동 784,37.66047176,126.77219
P-6929,경기도 고양시 일산동구 장항동 848,37.65708551,126.7741374
P-6930,경기도 고양시 일산동구 장항동854,37.65618367,126.7737861
P-6506,경기도 고양시 일산동구 백석동 1335-2,37.64475821,126.7844524
P-6507,경기도 고양시 일산동구 백석동 1555,37.64443716,126.7881722
P-6508,경기도 고양시 일산동구 백석동 1549,37.64593607,126.786114
P-6509,경기도 고양시 일산동구 백석동1283-2,37.64410892,126.7888149
P-6510,경기도 고양시 일산동구 백석동 1301,37.64022347,126.7904027
P-6511,경기도 고양시 일산동구 백석동 1538-3,37.644168,126.7868232
P-6512,경기도 고양시 일산동구 백석동 1308,37.64235547,126.7878825
P-6513,경기도 고양시 일산동구 백석동 1332-1,37.64369384,126.7864664
P-6514,경기도 고양시 일산동구 백석동 1351,37.64714556,126.7814285
P-6515,경기도 고양시 일산동구 백석동 1194,37.64808817,126.782283
P-6516,경기도 고양시 일산동구 백석동 1193,37.648426,126.7832692
P-6704,경기도 고양시 일산동구 마두동 768,37.65248368,126.7777453
P-6705,경기도 고양시 일산동구 마두동 800,37.653285,126.7780762
P-6910,경기도 고양시 일산동구 장항동 742,37.66220284,126.7664303
P-6911,경기도 고양시 일산동구 장항동 755,37.65904068,126.768858
P-6912,경기도 고양시 일산동구 장항동 1498,37.65909191,126.7703142
P-6916,경기도 고양시 일산동구 장항동 870,37.65419398,126.7730657
SP-6129,경기도 고양시 일산동구 식사동 산122-15,37.6776685,126.8127751
SP-6203,경기도 고양시 일산동구 중산동 1799,37.67735902,126.7898583
SP-6404,경기도 고양시 일산동구 풍동 1223,37.67279879,126.7957982
SP-6405,경기도 고양시 일산동구 풍산동 1277,37.6677484,126.8019997
P-6946,경기도 고양시 일산동구 장항동 1077-3,37.6616325,126.7568265
P-6531,경기도 고양시 일산동구 백석동 1538,37.64316083,126.7881716
P-6532,경기도 고양시 일산동구 백석동 1542 윈스턴파크 1~2차,37.64500596,126.7915813
P-6718,경기도 고양시 일산동구 마두동 1109,37.66515333,126.7835571
P-6305,경기도 고양시 일산동구 정발산동 1553 올바른개성손만두 앞,37.66991703,126.7745102
P-6404,경기도 고양시 일산동구 풍동 113-7,37.66403192,126.8067366
P-6108,경기도 고양시 일산동구 식사동 657-69,37.6748516,126.809977
P-6109,경기도 고양시 일산동구 식사동 849-1,37.67453335,126.8078503
P-6110,경기도 고양시 일산동구 식사동 산106-1,37.67313945,126.8117373
P-6111,경기도 고양시 일산동구 식사동 525-30,37.67316617,126.8101413
P-6112,경기도 고양시 일산동구 식사동 1585,37.67397705,126.8081935
P-6215,경기도 고양시 일산동구 중산동 1771,37.68154293,126.7868187
P-6401,경기도 고양시 일산동구 풍동 150-5,37.66331165,126.8041346
P-6402,경기도 고양시 일산동구 풍동 1289,37.66396547,126.7985046
P-6530,경기도 고양시 일산동구 백석 1동 1368,37.64801608,126.787427
P-6953,경기도 고양시 일산동구 장항동 908-3,37.65644203,126.7612441
P-6954,경기도 고양시 일산동구 장항2동 1499,37.6571234,126.77103
P-6952,경기도 고양시 일산동구 장항동 892,37.65257831,126.776303
P-6A03,경기도 고양시 일산동구 장항동 1484,37.660562,126.7665918
P-6B01,경기도 고양시 일산동구 설문동 589-23,37.725822,126.795759
SP-6A21,경기도 고양시 일산동구 백석동 1467,37.64647635,126.7789728
P-6105,경기도 고양시 일산동구 식사동 909-3,37.66844147,126.8056473
P-6106,경기도 고양시 일산동구 식사동 300-40,37.6853248,126.8140759
P-6107,경기도 고양시 일산동구 식사동 644-5,37.6756803,126.8138837
P-6214,경기도 고양시 일산동구 중산동 1674,37.6849255,126.7811032
P-6529,경기도 고양시 일산동구 백석동 1363,37.64683241,126.7856893
P-6715,경기도 고양시 일산동구 마두동 1005,37.65706315,126.7765922
P-6716,경기도 고양시 일산동구 마두동 803,37.65190106,126.7787837
P-6717,경기도 고양시 일산동구 마두동 1116,37.65766732,126.7888527
P-6951,경기도 고양시 일산동구 장항동 1807,37.660196,126.7560428
P-6212,경기도 고양시 일산동구 중산동 1710,37.6806519,126.78789
P-6213,경기도 고양시 일산동구 중산동 1836-2,37.67773403,126.782128
P-6221,경기도 고양시 일산동구 중산동 1810,37.67462523,126.7862482
P-6304,경기도 고양시 일산동구 정발산동 1144,37.67396644,126.7751333
P-6528,경기도 고양시 일산동구 백석동 1331-1,37.64296933,126.7867956
P-6949,경기도 고양시 일산동구 장항동 1763-1,37.65899407,126.7598933
P-6950,경기도 고양시 일산동구 장항동 1808,37.6603173,126.7561933
SP-6433,경기도 고양시 일산동구 풍동 1279-4,37.66734493,126.7997142
P-6941,경기도 고양시 일산동구 장항동 853,37.6555821,126.7741236
P-6942,경기도 고양시 일산동구 장항동 1088,37.6612809,126.7560344
P-6943,경기도 고양시 일산동구 장항동 1088,37.661392,126.753828
P-6944,경기도 고양시 일산동구 장항동 898-1,37.65026105,126.7777559
P-6945,경기도 고양시 일산동구 백석동 1324,37.63992792,126.7861717
SP-6107,경기도 고양시 일산동구 식사동 300-43,37.6849871,126.8138307
SP-6112,경기도 고양시 일산동구 식사동 679-24,37.6792561,126.8120617
P-6523,경기도 고양시 일산동구 백석동 1538,37.64316083,126.7881716
P-6524,경기도 고양시 일산동구 백석동 1541,37.64418419,126.7921215
P-6525,경기도 고양시 일산동구 백석동 1237,37.64407121,126.792801
P-6526,경기도 고양시 일산동구 백석동 1237,37.64407121,126.792801
P-6527,경기도 고양시 일산동구 백석동 1515,37.64381593,126.785693
P-6947,경기도 고양시 일산동구 장항동 1764,37.66316694,126.750651
