주차장번호,주차장아이디,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,전화번호,위도,경도,장애인전용주차구역보유여부
1,,한류월드 제3,공영,노외,,경기도 고양시 일산동구 장항동 1827,13,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.65620404,126.7566056,Y
2,,한류월드 제4,공영,노외,,경기도 고양시 일산동구 장항동 1848,17,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.6556539,126.7595151,Y
3,34,고양시 차량등록과 부설,공영,부설,경기도 고양시 일산동구 백마로 539,경기도 고양시 일산동구 풍동 162-2,106,평일,8:00,21:00,0:00,0:00,0:00,0:00,유료,60,0,5,170,,,,031-929-4847,37.66586075,126.8077365,Y
4,,정발산공원,공영,부설,,경기도 고양시 일산동구 마두동 1112,102,평일+토요일+공휴일,9:00,20:00,9:00,20:00,9:00,20:00,유료,30,0,5,,,,,031-929-4847,37.666514,126.782417,Y
5,,백석공원,공영,부설,,경기도 고양시 일산동구 백석동 1233,61,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,0,5,,,,,031-929-4847,37.644279,126.793186,Y
6,,약산공영,공영,노상,,경기도 고양시 일산동구 중산동 13-5,16,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4846,37.682566,126.792284,N
7,,정발산 상생,공영,노외,,경기도 고양시 일산동구 정발산동 1276-1,6,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.6699173,126.784563,N
8,,백석역 환승,공영,노외,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1242,297,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,200,5,50,24,3000,30000,031-929-4858,37.64317774,126.7896628,Y
9,,중산 제3,공영,노외,,경기도 고양시 일산동구 중산동 1726,32,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.68364376,126.7887336,Y
10,,백마역,공영,노외,,경기도 고양시 일산동구 마두동 747,31,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.65986391,126.7930691,Y
11,,정발산,공영,노외,,경기도 고양시 일산동구 정발산동 815,26,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4858,37.66669553,126.7744189,Y
12,,백석 제3,공영,노외,,경기도 고양시 일산동구 백석동 1148,23,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4858,37.64994856,126.7923329,Y
13,15,마두,공영,노외,,경기도 고양시 일산동구 마두동 921,24,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4858,37.66034152,126.7862052,Y
14,,일산동구청 부설,공영,부설,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815,463,평일,8:00,21:00,0:00,0:00,0:00,0:00,혼합,60,0,5,170,13,,30000,031-929-4847,37.65888174,126.7749581,Y
15,23,호수공원 부설 1,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,240,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.665004,126.759297,Y
16,7,호수공원 부설 2,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,507,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.661927,126.763168,Y
17,,호수공원 부설 3,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,181,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.653321,126.769535,Y
18,24,호수공원 부설 4,공영,부설,,경기도 고양시 일산동구 장항동 905,125,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.651523,126.770943,Y
19,29,중산공원 부설,공영,부설,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565,103,평일,9:00,21:00,0:00,0:00,0:00,0:00,혼합,30,300,5,50,12,,60000,031-929-4847,37.692136,126.779431,Y
20,,한류월드 제2,공영,노외,,경기도 고양시 일산동구 장항동 1801,87,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,600,5,100,24,8000,90000,031-929-4858,37.65987517,126.7559495,Y
21,53,한류월드 제1,공영,노외,,경기도 고양시 일산동구 장항동 1777,107,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,500,5,100,24,6000,80000,031-929-4858,37.66305598,126.7564824,Y
22,,노상 5권역,공영,노상,경기도 고양시 일산동구 강석로 2,경기도 고양시 일산동구 백석동 1283-2,90,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,5,150,5,150,,,,031-929-4846,37.643946,126.788601,Y
23,,노상 6권역,공영,노상,경기도 고양시 일산동구 중앙로1261번길 61,경기도 고양시 일산동구 장항동 864,76,평일+토요일+공휴일,9:00,21:00,9:00,21:00,9:00,21:00,유료,5,150,5,150,,,,031-929-4846,37.657418,126.769638,Y
24,18,장항 제1,공영,노외,경기도 고양시 일산동구 무궁화로 32-19,경기도 고양시 일산동구 장항동 777,177,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.66203396,126.7687424,Y
25,32,장항 제2,공영,노외,경기도 고양시 일산동구 고봉로 32-35,경기도 고양시 일산동구 장항동 732,175,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.6637749,126.7670369,Y
26,42,장항 제3,공영,노외,경기도 고양시 일산동구 무궁화로 19-19,경기도 고양시 일산동구 장항동 743,216,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.66280348,126.7660472,Y
27,22,장항 제4,공영,노외,경기도 고양시 일산동구 무궁화로 20-28,경기도 고양시 일산동구 장항동 758,192,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.66100858,126.7677936,Y
28,,장항 제5,공영,노외,경기도 고양시 일산동구 중앙로1275번길 14-27,경기도 고양시 일산동구 장항동 772,129,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-8075-2924,37.66070141,126.771054,Y
29,39,백석 제1,공영,노외,경기도 고양시 일산동구 장백로 31-12,경기도 고양시 일산동구 백석동 1311,235,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.64058987,126.7875174,Y
30,,백석 제2,공영,노외,경기도 고양시 일산동구 장백로 15-7,경기도 고양시 일산동구 백석동 1315,167,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.63962374,126.7893737,Y
31,,중산 제1,공영,노외,,경기도 고양시 일산동구 중산동 1667,9,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.68360395,126.7781062,Y
32,,중산 제2,공영,노외,,경기도 고양시 일산동구 중산동 1659,10,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.68524019,126.7801017,Y
33,,풍동 제1,공영,노외,,경기도 고양시 일산동구 풍동 1244,57,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.67315657,126.7996206,Y
34,,풍동 제2,공영,노외,경기도 고양시 일산동구 숲속마을로 50-88,경기도 고양시 일산동구 풍동 1272,80,평일,9:00,22:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4858,37.66772432,126.7980626,Y
35,36,풍동 제3,공영,노외,경기도 고양시 일산동구 숲속마을로 14-7,경기도 고양시 일산동구 풍동 1276,56,평일,9:00,22:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4858,37.66756619,126.8009699,Y
36,,고양 제1,공영,노외,,경기도 고양시 덕양구 고양동 444,57,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.70393834,126.903762,Y
37,51,고양시청 부설,공영,부설,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,143,평일,8:00,20:00,0:00,0:00,0:00,0:00,혼합,60,0,5,170,12,,30000,031-929-4847,37.6584145,126.8319597,Y
38,,고양일산,공영,노외,경기도 고양시 일산서구 원일로 86,경기도 고양시 일산서구 일산동 618,132,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,60,0,5,50,24,4000,,031-929-4850,37.6856602,126.7713962,Y
39,,노상 1권역,공영,노상,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,63,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,80,5,80,,,,031-929-4846,37.6584145,126.8319597,Y
40,,노상 3권역,공영,노상,경기도 고양시 덕양구 은빛로 39,경기도 고양시 덕양구 화정동 909,111,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,5,150,5,150,,,,031-929-4846,37.63819323,126.8322273,Y
41,,노상 4권역,공영,노상,경기도 고양시 덕양구 중앙로 555,경기도 고양시 덕양구 행신동 995,11,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,5,150,5,150,,,,031-929-4846,37.62318493,126.8353249,Y
42,,노상 7권역,공영,노상,경기도 고양시 일산서구 강선로 67,경기도 고양시 일산서구 주엽동 65,118,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,5,150,5,150,,,,031-929-4846,37.67017485,126.7649178,Y
43,,능곡 제1,공영,노외,,경기도 고양시 덕양구 토당동 335-90,14,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.62323998,126.818029,Y
44,,대화,공영,노외,,경기도 고양시 일산서구 대화동 2037,25,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4850,37.68268306,126.7543114,Y
45,30,덕양구청 부설,공영,부설,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955,312,평일,8:00,21:00,0:00,0:00,0:00,0:00,혼합,60,0,5,170,13,,30000,031-929-4847,37.63746533,126.8322924,Y
46,,덕이동 상생,공영,노외,,경기도 고양시 일산서구 덕이동 362-4,16,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4850,37.6988153,126.7544964,N
47,,삼송1통 임시,공영,노외,,경기도 고양시 덕양구 지축동 765-159,47,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.6547146,126.902453,Y
48,,삼송동 자투리,공영,노외,,경기도 고양시 덕양구 삼송동 62,30,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.65624657,126.8971897,Y
49,,삼송역 환승,공영,노외,,경기도 고양시 덕양구 삼송동 290,195,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,90000,031-929-4843,37.65291187,126.8972142,Y
50,25,서정마을 제1,공영,노외,,경기도 고양시 덕양구 행신동 1080-6,29,평일,8:00,22:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,80000,031-929-4843,37.61901424,126.8452659,Y
51,50,서정마을 제2,공영,노외,,경기도 고양시 덕양구 행신동 1079,30,평일,8:00,22:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,80000,031-929-4843,37.61848028,126.8465674,Y
52,,성사 제1,공영,노외,경기도 고양시 덕양구 고양대로1384번길 7-17,경기도 고양시 덕양구 성사동 720,20,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.65355843,126.8385705,Y
53,11,성사 제2,공영,노외,,경기도 고양시 덕양구 성사동 721,32,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.65319829,126.8386118,Y
54,10,성사 제3,공영,노상,,경기도 고양시 덕양구 성사동 708,128,평일+토요일+공휴일,9:00,19:30,9:00,19:30,9:00,19:30,유료,5,100,5,100,,,,031-929-4846,37.65550775,126.8350934,Y
55,,성사혁신지구 임시,공영,노외,,경기도 고양시 덕양구 성사동 331-4,163,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.65332437,126.8453192,Y
56,,신도,공영,노외,,경기도 고양시 덕양구 지축동 766-11,15,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.65611202,126.8997967,Y
57,38,일산 제1,공영,노외,경기도 고양시 일산서구 고양대로 730,경기도 고양시 일산서구 일산동 1673-5,13,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4850,37.68279399,126.7770081,Y
58,,일산 제2,공영,노외,,경기도 고양시 일산서구 일산동 1681-3,5,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4850,37.68374427,126.7756281,Y
59,27,일산서구청 부설,공영,부설,경기도 고양시 일산서구 중앙로 1600,경기도 고양시 일산서구 대화동 2321,366,평일+토요일+공휴일,8:00,21:00,0:00,23:59,0:00,23:59,혼합,60,0,5,170,13,,30000,031-929-4847,37.6779725,126.7452458,Y
60,,일산역,공영,노외,,경기도 고양시 일산서구 일산동 1681-3,27,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4850,37.68374427,126.7756281,Y
61,37,일산종합사회복지관 부설,공영,부설,경기도 고양시 일산서구 고양대로 654,경기도 고양시 일산서구 일산동 620-3,98,평일,8:00,20:00,0:00,0:00,0:00,0:00,혼합,30,500,5,100,12,6000,30000,031-929-4847,37.68451108,126.7685049,Y
62,,전시장,공영,노외,,경기도 고양시 일산서구 대화동 2307-17,255,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,30,500,5,100,24,6000,60000,031-929-4850,37.66770028,126.7475836,Y
63,,종합운동장,공영,노외,,경기도 고양시 일산서구 대화동 2321-3,500,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,500,5,100,24,6000,80000,031-8075-2924,37.67817408,126.7439597,Y
64,45,주교 제1,공영,노외,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1,267,평일,8:00,22:00,0:00,0:00,0:00,0:00,유료,30,200,5,100,24,3000,30000,031-929-4843,37.65559958,126.8317801,Y
65,17,주교 제2,공영,노외,,경기도 고양시 덕양구 주교동 148-6,57,평일,8:00,22:00,0:00,0:00,0:00,0:00,유료,30,200,5,150,24,3000,60000,031-929-4843,37.65651908,126.8330735,Y
66,,지축역 임시,공영,노외,,경기도 고양시 덕양구 지축동 1010,35,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.648357,126.914561,Y
67,,탄현 제1,공영,노외,경기도 고양시 일산서구 일현로41번길 11,경기도 고양시 일산서구 탄현동 1561,49,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4850,37.69092365,126.7618817,Y
68,52,탄현 제2,공영,노외,경기도 고양시 일산서구 산현로17번길 35,경기도 고양시 일산서구 탄현동 1573-9,36,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4850,37.69112506,126.7634684,Y
69,58,탄현 제3,공영,노외,경기도 고양시 일산서구 탄중로 244-2,경기도 고양시 일산서구 탄현동 1589,66,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4850,37.69276803,126.7724158,Y
70,,탄현 제4,공영,노외,,경기도 고양시 일산서구 탄현동 1596,48,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4850,37.69242729,126.7744598,Y
71,,탄현 제5,공영,노외,,경기도 고양시 일산서구 탄현동 1489,60,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4850,37.69431786,126.7690174,Y
72,,탄현 제6,공영,노외,,경기도 고양시 일산서구 탄현동 1651,37,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4850,37.70586019,126.7673726,Y
73,46,탄현역 환승,공영,노외,경기도 고양시 일산서구 일현로 97-27,경기도 고양시 일산서구 탄현동 1636,232,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,200,5,50,24,3000,30000,031-929-4850,37.69535181,126.7613687,Y
74,8,행신 제1,공영,노외,경기도 고양시 덕양구 무원로54번길 14,경기도 고양시 덕양구 행신동 728,46,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,150,24,3000,60000,031-929-4843,37.61751878,126.8331889,Y
75,41,행신 제2,공영,노외,경기도 고양시 덕양구 용현로 49-13,경기도 고양시 덕양구 행신동 748,37,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.61712126,126.834984,Y
76,5,행신 제3,공영,노외,경기도 고양시 덕양구 무원로 16,경기도 고양시 덕양구 행신동 711,46,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.61427789,126.8325302,Y
77,31,행신 제4,공영,노외,경기도 고양시 덕양구 무원로 14,경기도 고양시 덕양구 행신동 710,44,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.6140941,126.8325397,Y
78,40,행신 제5,공영,노외,경기도 고양시 덕양구 용현로 15-1,경기도 고양시 덕양구 행신동 759,43,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.61427834,126.8354071,Y
79,19,행신 제6,공영,노외,경기도 고양시 덕양구 용현로 15,경기도 고양시 덕양구 행신동 764,42,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.61410536,126.8354165,Y
80,,행신 제7,공영,노외,경기도 고양시 덕양구 행당로33번길 73-6,경기도 고양시 덕양구 행신동 633-101,24,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4843,37.62125438,126.8309471,Y
81,,행신 제8,공영,노외,,경기도 고양시 덕양구 행신동 1007-2,114,평일+토요일+공휴일,8:00,20:00,0:00,23:59,0:00,23:59,혼합,30,500,5,100,24,6000,80000,031-929-4843,37.62254445,126.8327375,Y
82,,행신 제9,공영,노외,경기도 고양시 덕양구 소원로181번길 38,경기도 고양시 덕양구 행신동 805,48,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4843,37.61461343,126.8432985,Y
83,21,행신2동행정복지센터 부설,공영,부설,경기도 고양시 덕양구 충경로 30,경기도 고양시 덕양구 행신동 717,46,평일,8:00,21:00,0:00,0:00,0:00,0:00,유료,60,0,5,170,,,,031-929-4847,37.61516244,126.8330211,Y
84,,행주산성 부설 상,공영,부설,,경기도 고양시 덕양구 행주외동 62-8,80,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,10,0,,,9,2000,,031-929-4847,37.60017081,126.8247814,Y
85,16,행주산성 부설 하,공영,부설,,경기도 고양시 덕양구 행주외동 60,150,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,10,0,,,9,2000,,031-929-4847,37.60150257,126.8231066,Y
86,,행주산성역사공원,공영,부설,,경기도 고양시 덕양구 행주외동 145,179,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,0,5,,,,,031-929-4847,37.5980239,126.8193231,Y
87,,향동 제1,공영,노외,,경기도 고양시 덕양구 향동동 476,94,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,90000,031-929-4843,37.5997794,126.8913682,Y
88,55,화정역 환승,공영,노외,경기도 고양시 덕양구 화정로 63,경기도 고양시 덕양구 화정동 963,241,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,200,5,150,24,3000,30000,031-929-4843,37.63515499,126.832842,Y
